*** New Session***
01-11-2021 16:11:52
Product Name: forerunnner 45
81814093 : Rx: [80][FF][FF][FF][2A][71][F2][3F]
81814343 : Rx fail
81814593 : Rx fail
81814843 : Rx: [00][FF][FF][FF][F9][74][F3][3F]
81815093 : Rx: [00][FF][FF][FF][F9][74][F3][3E]
81815328 : Rx: [00][FF][FF][FF][F9][74][F3][3E]
81815578 : Rx: [00][FF][FF][FF][D7][78][F4][3E]
81815828 : Rx fail
81816078 : Rx fail
81816312 : Rx: [80][FF][FF][FF][D7][78][F4][3E]
81816562 : Rx: [80][FF][FF][FF][B5][7C][F5][3E]
81816812 : Rx: [00][FF][FF][FF][B5][7C][F5][3E]
81817062 : Rx: [00][FF][FF][FF][B5][7C][F5][3E]
81817296 : Rx: [00][FF][FF][FF][93][80][F6][3E]
81817546 : Rx fail
81817796 : Rx fail
81818046 : Rx: [80][FF][FF][FF][93][80][F6][3E]
81818281 : Rx fail
81818531 : Rx: [80][FF][FF][FF][82][84][F7][3D]
81818781 : Rx: [00][FF][FF][FF][82][84][F7][3D]
81819031 : Rx: [00][FF][FF][FF][82][84][F7][3D]
81819265 : Rx: [00][FF][FF][FF][71][88][F8][3D]
81819515 : Rx fail
81819765 : Rx: [80][FF][FF][FF][71][88][F8][3D]
81820015 : Rx fail
81820265 : Rx: [80][FF][FF][FF][60][8C][F9][3D]
81820500 : Rx: [80][FF][FF][FF][60][8C][F9][3D]
81820750 : Rx: [00][FF][FF][FF][60][8C][F9][3D]
81821000 : Rx: [00][FF][FF][FF][60][8C][F9][3D]
81821250 : Rx: [00][FF][FF][FF][60][90][FA][3C]
81821484 : Rx: [00][FF][FF][FF][60][90][FA][3C]
81821734 : Rx: [80][FF][FF][FF][60][90][FA][3C]
81821984 : Rx: [80][FF][FF][FF][60][90][FA][3C]
81822234 : Rx: [80][FF][FF][FF][60][90][FA][3B]
81822468 : Rx: [80][FF][FF][FF][71][94][FB][3B]
81822718 : Rx: [00][FF][FF][FF][71][94][FB][3B]
81822968 : Rx: [00][FF][FF][FF][71][94][FB][3B]
81823218 : Rx: [00][FF][FF][FF][71][94][FB][3B]
81823453 : Rx: [00][FF][FF][FF][82][98][FC][3B]
81823703 : Rx: [80][FF][FF][FF][82][98][FC][3B]
81823953 : Rx: [80][FF][FF][FF][82][98][FC][3B]
81824203 : Rx: [80][FF][FF][FF][82][98][FC][3A]
81824437 : Rx: [80][FF][FF][FF][A5][9C][FD][3A]
81824687 : Rx: [00][FF][FF][FF][A5][9C][FD][3A]
81824937 : Rx: [00][FF][FF][FF][A5][9C][FD][3A]
81825187 : Rx: [00][FF][FF][FF][A5][9C][FD][39]
81825421 : Rx: [00][FF][FF][FF][DA][A0][FE][39]
81825671 : Rx: [80][FF][FF][FF][DA][A0][FE][39]
81825921 : Rx: [80][FF][FF][FF][DA][A0][FE][39]
81826171 : Rx: [80][FF][FF][FF][DA][A0][FE][3A]
81826421 : Rx: [80][FF][FF][FF][FD][A4][FF][3A]
81826656 : Rx: [09][FD][FF][FF][FD][A4][FF][3A]
81826906 : Rx: [09][FD][FF][FF][FD][A4][FF][3A]
81827156 : Rx: [09][FD][FF][FF][FD][A4][FF][39]
81827406 : Rx fail
81827640 : Rx: [80][FF][FF][FF][32][A9][00][39]
81827890 : Rx: [80][FF][FF][FF][32][A9][00][39]
81828140 : Rx: [80][FF][FF][FF][32][A9][00][38]
81828390 : Rx: [80][FF][FF][FF][32][A9][00][38]
81828625 : Rx fail
81828875 : Rx: [00][FF][FF][FF][7B][AD][01][38]
81829125 : Rx: [00][FF][FF][FF][7B][AD][01][39]
81829375 : Rx: [00][FF][FF][FF][7B][AD][01][39]
81829609 : Rx: [80][FF][FF][FF][B0][B1][02][39]
81829859 : Rx: [80][FF][FF][FF][B0][B1][02][39]
81830109 : Rx: [80][FF][FF][FF][B0][B1][02][39]
81830359 : Rx: [80][FF][FF][FF][B0][B1][02][39]
81830593 : Rx: [00][FF][FF][FF][B0][B1][02][39]
81830843 : Rx: [00][FF][FF][FF][E5][B5][03][39]
81831093 : Rx: [00][FF][FF][FF][E5][B5][03][39]
81831343 : Rx: [00][FF][FF][FF][E5][B5][03][39]
81831593 : Rx: [80][FF][FF][FF][E5][B5][03][39]
81831828 : Rx: [80][FF][FF][FF][1A][BA][04][39]
81832078 : Rx: [80][FF][FF][FF][1A][BA][04][3A]
81832328 : Rx fail
81832578 : Rx: [00][FF][FF][FF][1A][BA][04][3A]
81832812 : Rx fail
81833062 : Rx: [00][FF][FF][FF][3D][BE][05][3A]
81833312 : Rx: [00][FF][FF][FF][3D][BE][05][3A]
81833562 : Rx: [80][FF][FF][FF][3D][BE][05][3A]
81833796 : Rx: [80][FF][FF][FF][60][C2][06][3A]
81834046 : Rx fail
81834296 : Rx fail
81834546 : Rx: [00][FF][FF][FF][60][C2][06][39]
81834781 : Rx: [00][FF][FF][FF][95][C6][07][39]
81835031 : Rx: [00][FF][FF][FF][95][C6][07][39]
81835281 : Rx: [00][FF][FF][FF][95][C6][07][38]
81835531 : Rx fail
81835765 : Rx: [80][FF][FF][FF][95][C6][07][38]
81836015 : Rx: [80][FF][FF][FF][DE][CA][08][38]
81836265 : Rx fail
81836515 : Rx: [00][FF][FF][FF][DE][CA][08][38]
81836765 : Rx: [00][FF][FF][FF][DE][CA][08][38]
81837000 : Rx: [00][FF][FF][FF][27][CF][09][38]
81837250 : Rx: [00][FF][FF][FF][27][CF][09][36]
81837500 : Rx: [80][FF][FF][FF][27][CF][09][36]
81837750 : Rx: [80][FF][FF][FF][27][CF][09][36]
81837984 : Rx: [80][FF][FF][FF][27][CF][09][36]
81838234 : Rx: [80][FF][FF][FF][98][D3][0A][36]
81838484 : Rx: [00][FF][FF][FF][98][D3][0A][36]
81838734 : Rx: [00][FF][FF][FF][98][D3][0A][36]
81838968 : Rx: [00][FF][FF][FF][98][D3][0A][36]
81839218 : Rx: [00][FF][FF][FF][1F][D8][0B][35]
81839468 : Rx: [80][FF][FF][FF][1F][D8][0B][35]
81839718 : Rx: [80][FF][FF][FF][1F][D8][0B][35]
81839953 : Rx: [80][FF][FF][FF][1F][D8][0B][35]
81840203 : Rx: [80][FF][FF][FF][1F][D8][0B][34]
81840453 : Rx: [00][FF][FF][FF][BC][DC][0C][34]
81840703 : Rx: [00][FF][FF][FF][BC][DC][0C][34]
