*** New Session***
02-11-2021 16:09:57
Product Name: hrm_pro
168113953 : Rx: [84][00][5B][3D][A3][40][7E][47]
168114203 : Rx: [84][00][5B][3D][A3][40][7E][47]
168114453 : Rx: [84][00][5B][3D][A3][40][7E][47]
168114687 : Rx: [04][00][A3][40][FF][43][7F][47]
168114937 : Rx: [04][00][A3][40][FF][43][7F][47]
168115187 : Rx: [04][00][A3][40][FF][43][7F][47]
168115437 : Rx: [04][00][A3][40][FF][43][7F][47]
168115671 : Rx: [84][00][FF][43][85][47][80][47]
168115921 : Rx: [84][00][FF][43][85][47][80][47]
168116171 : Rx: [84][00][FF][43][85][47][80][47]
168116421 : Rx: [84][00][85][47][1C][4B][81][46]
168116656 : Rx: [04][00][85][47][1C][4B][81][46]
168116906 : Rx fail
168117156 : Rx: [04][00][85][47][1C][4B][81][46]
168117406 : Rx: [04][00][1C][4B][8C][4E][82][45]
168117640 : Rx: [86][FF][87][80][8C][4E][82][45]
168117890 : Rx: [86][FF][87][80][8C][4E][82][45]
168118140 : Rx: [86][FF][87][80][C9][51][83][45]
168118390 : Rx: [86][FF][87][80][C9][51][83][45]
168118625 : Rx: [04][00][8C][4E][C9][51][83][45]
168118875 : Rx: [04][00][8C][4E][C9][51][83][45]
168119125 : Rx: [04][00][C9][51][0F][55][84][47]
168119375 : Rx: [04][00][C9][51][0F][55][84][47]
168119625 : Rx: [84][00][C9][51][0F][55][84][47]
168119859 : Rx: [84][00][0F][55][72][58][85][48]
168120109 : Rx: [84][00][0F][55][72][58][85][48]
168120359 : Rx: [F9][42][30][09][72][58][85][48]
168120609 : Rx: [04][00][72][58][F2][5B][86][48]
168120843 : Rx: [04][00][72][58][F2][5B][86][48]
168121093 : Rx: [04][00][72][58][F2][5B][86][48]
168121343 : Rx: [04][00][72][58][F2][5B][86][48]
168121593 : Rx: [84][00][F2][5B][4C][5F][87][47]
168121828 : Rx: [84][00][F2][5B][4C][5F][87][47]
168122078 : Rx: [84][00][F2][5B][4C][5F][87][47]
168122328 : Rx: [84][00][4C][5F][77][62][88][47]
168122578 : Rx: [04][00][4C][5F][77][62][88][47]
168122812 : Rx: [04][00][4C][5F][77][62][88][47]
168123062 : Rx: [04][00][77][62][88][65][89][4A]
168123312 : Rx: [04][00][77][62][88][65][89][4A]
168123562 : Rx: [84][00][77][62][88][65][89][4A]
168123796 : Rx: [84][00][88][65][68][68][8A][4C]
168124046 : Rx: [84][00][88][65][68][68][8A][4C]
168124296 : Rx: [84][00][88][65][68][68][8A][4C]
168124546 : Rx: [04][00][68][68][54][6B][8B][4E]
168124796 : Rx: [04][00][68][68][54][6B][8B][4E]
168125031 : Rx: [04][00][68][68][54][6B][8B][4E]
168125281 : Rx: [04][00][54][6B][58][6E][8C][50]
168125531 : Rx: [84][00][54][6B][58][6E][8C][50]
168125781 : Rx: [84][00][54][6B][58][6E][8C][50]
168126015 : Rx: [84][00][58][6E][3E][71][8D][51]
168126265 : Rx: [84][00][58][6E][3E][71][8D][51]
168126515 : Rx: [04][00][58][6E][3E][71][8D][51]
168126765 : Rx: [04][00][3E][71][25][74][8E][52]
168127000 : Rx: [04][00][3E][71][25][74][8E][52]
168127250 : Rx: [04][00][3E][71][25][74][8E][52]
168127500 : Rx: [84][00][25][74][48][77][8F][52]
168127750 : Rx: [84][00][25][74][48][77][8F][52]
168127984 : Rx: [84][00][25][74][48][77][8F][52]
