*** New Session***
08-11-2021 16:14:20
Product Name: Foreruner
285455125 : Rx: [00][FF][FF][FF][E9][F4][19][5A]
285455359 : Rx: [00][FF][FF][FF][E9][F4][19][5A]
285455609 : Rx: [00][FF][FF][FF][E9][F4][19][59]
285455859 : Rx: [80][FF][FF][FF][9B][F7][1A][59]
285456109 : Rx: [80][FF][FF][FF][9B][F7][1A][59]
285456343 : Rx: [80][FF][FF][FF][9B][F7][1A][59]
285456593 : Rx: [80][FF][FF][FF][55][FA][1B][58]
285456843 : Rx: [00][FF][FF][FF][55][FA][1B][58]
285457093 : Rx: [00][FF][FF][FF][0F][FD][1C][58]
285457328 : Rx: [00][FF][FF][FF][0F][FD][1C][58]
285457578 : Rx: [00][FF][FF][FF][0F][FD][1C][58]
285457828 : Rx: [80][FF][FF][FF][C9][FF][1D][58]
285458078 : Rx: [80][FF][FF][FF][C9][FF][1D][58]
285458312 : Rx: [80][FF][FF][FF][C9][FF][1D][58]
285458562 : Rx: [80][FF][FF][FF][8B][02][1E][57]
285458812 : Rx: [09][FD][FF][FF][8B][02][1E][57]
285459062 : Rx: [09][FD][FF][FF][8B][02][1E][57]
285459312 : Rx: [09][FD][FF][FF][4D][05][1F][57]
285459546 : Rx: [09][FD][FF][FF][4D][05][1F][56]
285459796 : Rx: [80][FF][FF][FF][4D][05][1F][56]
285460046 : Rx: [80][FF][FF][FF][17][08][20][56]
285460296 : Rx: [80][FF][FF][FF][17][08][20][56]
285460531 : Rx: [80][FF][FF][FF][E9][0A][21][55]
285460781 : Rx: [00][FF][FF][FF][E9][0A][21][55]
285461031 : Rx: [00][FF][FF][FF][E9][0A][21][55]
285461281 : Rx: [00][FF][FF][FF][BB][0D][22][55]
285461515 : Rx: [00][FF][FF][FF][BB][0D][22][54]
285461765 : Rx: [80][FF][FF][FF][BB][0D][22][54]
285462015 : Rx: [80][FF][FF][FF][96][10][23][54]
285462265 : Rx: [80][FF][FF][FF][96][10][23][54]
285462500 : Rx: [80][FF][FF][FF][96][10][23][54]
285462750 : Rx: [00][FF][FF][FF][71][13][24][54]
285463000 : Rx: [00][FF][FF][FF][71][13][24][54]
285463250 : Rx fail
285463484 : Rx: [00][FF][FF][FF][55][16][25][53]
285463734 : Rx: [80][FF][FF][FF][55][16][25][53]
285463984 : Rx fail
