*** New Session***
02-11-2021 09:04:21
Product Name: Forerunner
142566843 : Rx: [00][FF][FF][FF][1D][BA][BC][62]
142567078 : Rx fail
142567328 : Rx fail
142567578 : Rx: [80][FF][FF][FF][89][BC][BD][63]
142567828 : Rx fail
142568078 : Rx: [80][FF][FF][FF][F5][BE][BE][63]
142568312 : Rx: [80][FF][FF][FF][F5][BE][BE][63]
142568562 : Rx fail
142568812 : Rx: [00][FF][FF][FF][61][C1][BF][63]
142569062 : Rx: [00][FF][FF][FF][C7][C3][C0][64]
142569296 : Rx: [00][FF][FF][FF][C7][C3][C0][64]
142569546 : Rx fail
142569796 : Rx: [80][FF][FF][FF][2D][C6][C1][64]
142570046 : Rx: [80][FF][FF][FF][2D][C6][C1][64]
142570281 : Rx fail
142570531 : Rx: [00][FF][FF][FF][93][C8][C2][64]
142570781 : Rx: [00][FF][FF][FF][93][C8][C2][64]
142571031 : Rx fail
142571265 : Rx: [00][FF][FF][FF][F9][CA][C3][64]
142571515 : Rx: [80][FF][FF][FF][5F][CD][C4][64]
142571765 : Rx: [80][FF][FF][FF][5F][CD][C4][64]
142572015 : Rx: [80][FF][FF][FF][BF][CF][C5][65]
142572250 : Rx: [80][FF][FF][FF][BF][CF][C5][65]
142572500 : Rx fail
142572750 : Rx: [03][FF][AE][FF][1F][D2][C6][65]
142573000 : Rx: [03][FF][AE][FF][1F][D2][C6][65]
142573234 : Rx: [03][FF][AE][FF][7F][D4][C7][65]
142573484 : Rx: [80][FF][FF][FF][7F][D4][C7][65]
142573734 : Rx: [80][FF][FF][FF][7F][D4][C7][65]
142573984 : Rx: [80][FF][FF][FF][DF][D6][C8][65]
142574234 : Rx: [80][FF][FF][FF][DF][D6][C8][64]
142574468 : Rx: [00][FF][FF][FF][45][D9][C9][64]
142574718 : Rx: [00][FF][FF][FF][45][D9][C9][64]
142574968 : Rx fail
142575218 : Rx: [00][FF][FF][FF][AB][DB][CA][64]
142575453 : Rx: [80][FF][FF][FF][AB][DB][CA][64]
142575703 : Rx: [80][FF][FF][FF][11][DE][CB][64]
142575953 : Rx: [80][FF][FF][FF][11][DE][CB][64]
142576203 : Rx: [80][FF][FF][FF][77][E0][CC][64]
142576437 : Rx: [00][FF][FF][FF][77][E0][CC][64]
142576687 : Rx: [00][FF][FF][FF][77][E0][CC][64]
142576937 : Rx: [00][FF][FF][FF][DD][E2][CD][64]
142577187 : Rx: [00][FF][FF][FF][DD][E2][CD][64]
142577421 : Rx: [80][FF][FF][FF][43][E5][CE][64]
142577671 : Rx: [80][FF][FF][FF][43][E5][CE][64]
142577921 : Rx: [80][FF][FF][FF][43][E5][CE][64]
142578171 : Rx: [80][FF][FF][FF][A9][E7][CF][64]
142578421 : Rx: [00][FF][FF][FF][A9][E7][CF][64]
142578656 : Rx: [00][FF][FF][FF][0F][EA][D0][64]
142578906 : Rx: [00][FF][FF][FF][0F][EA][D0][64]
142579156 : Rx: [00][FF][FF][FF][0F][EA][D0][63]
142579406 : Rx: [80][FF][FF][FF][7B][EC][D1][63]
142579640 : Rx: [80][FF][FF][FF][7B][EC][D1][63]
142579890 : Rx: [80][FF][FF][FF][E7][EE][D2][63]
142580140 : Rx: [80][FF][FF][FF][E7][EE][D2][63]
142580390 : Rx: [00][FF][FF][FF][53][F1][D3][63]
142580625 : Rx: [00][FF][FF][FF][53][F1][D3][63]
142580875 : Rx: [00][FF][FF][FF][53][F1][D3][63]
142581125 : Rx: [00][FF][FF][FF][BF][F3][D4][63]
142581375 : Rx: [80][FF][FF][FF][BF][F3][D4][63]
142581609 : Rx: [80][FF][FF][FF][2B][F6][D5][63]
142581859 : Rx: [80][FF][FF][FF][2B][F6][D5][63]
142582109 : Rx: [80][FF][FF][FF][2B][F6][D5][63]
142582359 : Rx: [00][FF][FF][FF][97][F8][D6][63]
142582593 : Rx: [00][FF][FF][FF][97][F8][D6][63]
142582843 : Rx fail
142583093 : Rx: [00][FF][FF][FF][03][FB][D7][64]
142583343 : Rx: [80][FF][FF][FF][03][FB][D7][64]
142583578 : Rx: [80][FF][FF][FF][69][FD][D8][64]
142583828 : Rx: [80][FF][FF][FF][69][FD][D8][64]
142584078 : Rx: [80][FF][FF][FF][C9][FF][D9][65]
142584328 : Rx: [00][FF][FF][FF][C9][FF][D9][65]
142584578 : Rx: [00][FF][FF][FF][C9][FF][D9][65]
142584812 : Rx fail
142585062 : Rx: [00][FF][FF][FF][29][02][DA][66]
142585312 : Rx fail
142585562 : Rx: [80][FF][FF][FF][83][04][DB][66]
142585796 : Rx: [80][FF][FF][FF][DD][06][DC][66]
142586046 : Rx: [80][FF][FF][FF][DD][06][DC][67]
142586296 : Rx fail
142586546 : Rx fail
142586781 : Rx: [00][FF][FF][FF][31][09][DD][67]
142587031 : Rx: [00][FF][FF][FF][85][0B][DE][67]
142587281 : Rx: [80][FF][FF][FF][85][0B][DE][67]
142587531 : Rx: [80][FF][FF][FF][D9][0D][DF][67]
142587765 : Rx: [80][FF][FF][FF][D9][0D][DF][67]
142588015 : Rx: [80][FF][FF][FF][D9][0D][DF][67]
142588265 : Rx: [00][FF][FF][FF][27][10][E0][68]
142588515 : Rx: [00][FF][FF][FF][27][10][E0][68]
142588750 : Rx fail
142589000 : Rx: [00][FF][FF][FF][75][12][E1][68]
142589250 : Rx: [89][FD][FF][FF][BE][14][E2][69]
142589500 : Rx fail
142589750 : Rx fail
142589984 : Rx: [89][FD][FF][FF][07][17][E3][69]
142590234 : Rx: [00][FF][FF][FF][07][17][E3][6A]
142590484 : Rx: [00][FF][FF][FF][4A][19][E4][6A]
142590734 : Rx: [00][FF][FF][FF][4A][19][E4][6A]
142590968 : Rx: [00][FF][FF][FF][8D][1B][E5][6A]
142591218 : Rx: [80][FF][FF][FF][8D][1B][E5][6B]
142591468 : Rx: [80][FF][FF][FF][8D][1B][E5][6B]
142591718 : Rx: [80][FF][FF][FF][CB][1D][E6][6B]
142591953 : Rx: [80][FF][FF][FF][CB][1D][E6][6B]
